iter	Passed	Remaining
766	5302	1610
767	5305	1602
768	5313	1596
769	5317	1588
770	5320	1580
771	5324	1572
772	5328	1564
773	5332	1557
774	5335	1549
775	5339	1541
776	5342	1533
777	5346	1525
778	5373	1524
779	5377	1516
780	5384	1509
781	5390	1502
782	5394	1495
783	5406	1489
784	5410	1481
785	5414	1474
786	5418	1466
787	5422	1458
788	5426	1451
789	5430	1443
790	5434	1435
791	5438	1428
792	5442	1420
793	5445	1412
794	5449	1405
795	5453	1397
796	5456	1389
797	5460	1382
798	5464	1374
799	5468	1367
800	5471	1359
801	5475	1351
802	5479	1344
803	5483	1336
804	5487	1329
805	5491	1321
806	5507	1317
807	5511	1309
808	5515	1302
809	5518	1294
810	5522	1287
811	5525	1279
812	5529	1271
813	5533	1264
814	5537	1256
815	5541	1249
816	5544	1241
817	5548	1234
818	5552	1227
819	5555	1219
820	5561	1212
821	5565	1205
822	5570	1198
823	5576	1191
824	5579	1183
825	5583	1176
826	5590	1169
827	5594	1162
828	5610	1157
829	5614	1149
830	5630	1145
831	5633	1137
832	5644	1131
833	5651	1124
834	5655	1117
835	5659	1110
836	5672	1104
837	5676	1097
838	5680	1090
839	5684	1082
840	5687	1075
841	5691	1068
842	5695	1060
843	5715	1056
844	5719	1049
845	5738	1044
846	5744	1037
847	5749	1030
848	5755	1023
849	5760	1016
850	5764	1009
851	5768	1002
852	5772	994
853	5791	990
854	5795	982
855	5798	975
856	5806	968
857	5809	961
858	5814	954
859	5818	947
860	5824	940
861	5828	933
862	5832	925
863	5836	918
864	5840	911
865	5843	904
866	5847	897
867	5851	889
868	5855	882
869	5858	875
870	5867	869
871	5871	861
872	5875	854
873	5878	847
874	5882	840
875	5895	834
876	5899	827
877	5902	820
878	5906	813
879	5910	805
880	5914	798
881	5918	791
882	5923	784
883	5928	777
884	5932	770
885	5936	763
886	5939	756
887	5944	749
888	5947	742
889	5951	735
890	5955	728
891	5959	721
892	5962	714
893	5966	707
894	5969	700
895	5976	693
896	5980	686
897	5987	680
898	5992	673
899	5996	666
900	6009	660
901	6036	655
902	6040	648
903	6043	641
904	6050	635
905	6054	628
906	6058	621
907	6062	614
908	6066	607
909	6069	600
910	6080	594
911	6084	587
912	6089	580
913	6093	573
914	6100	566
915	6108	560
916	6113	553
917	6117	546
918	6154	542
919	6159	535
920	6163	528
921	6167	521
922	6173	515
923	6177	508
924	6181	501
925	6185	494
926	6188	487
927	6192	480
928	6196	473
929	6208	467
930	6212	460
931	6215	453
932	6219	446
933	6223	439
934	6230	433
935	6233	426
936	6240	419
937	6245	412
938	6249	405
939	6253	399
940	6284	394
941	6298	387
942	6303	381
943	6307	374
944	6311	367
945	6315	360
946	6319	353
947	6323	346
948	6327	340
949	6331	333
950	6338	326
951	6342	319
952	6346	313
953	6350	306
954	6353	299
955	6357	292
956	6360	285
957	6364	279
958	6367	272
959	6371	265
960	6375	258
961	6379	251
962	6388	245
963	6392	238
964	6396	231
965	6400	225
966	6403	218
967	6407	211
968	6410	205
969	6414	198
970	6418	191
971	6422	184
972	6425	178
973	6429	171
974	6436	165
975	6440	158
976	6444	151
977	6448	145
978	6452	138
979	6456	131
980	6460	125
981	6466	118
982	6479	112
983	6484	105
984	6489	98
985	6493	92
986	6509	85
987	6513	79
988	6517	72
989	6520	65
990	6524	59
991	6528	52
992	6532	46
993	6536	39
994	6540	32
995	6543	26
996	6547	19
997	6551	13
998	6555	6
999	6559	0
